sport,country,league,season,match_time,home_team,away_team,scraped_date
football,South America,Copa Libertadores,2020,15.12. 16:30,Palmeiras (Bra),Libertad Asuncion (Par),2020-12-15
football,South America,Copa Libertadores,2020,16.12. 14:15,Santos (Bra),Gremio (Bra),2020-12-15
football,South America,Copa Libertadores,2020,16.12. 16:30,Racing Club (Arg),Boca Juniors (Arg),2020-12-15
football,South America,Copa Libertadores,2020,17.12. 16:30,Nacional (Uru),River Plate (Arg),2020-12-15
football,South America,Copa Libertadores,2020,23.12. 16:30,Boca Juniors (Arg),Racing Club (Arg),2020-12-15
football,South America,Copa América,2020,11.06. 16:00,Argentina,Chile,2020-12-15
football,South America,Copa América,2020,12.06. 12:00,Australia,Uruguay,2020-12-15
football,South America,Copa América,2020,12.06. 15:00,Paraguay,Bolivia,2020-12-15
football,South America,Copa América,2020,12.06. 18:00,Colombia,Ecuador,2020-12-15
football,South America,Copa América,2020,13.06. 15:00,Brazil,Venezuela,2020-12-15
football,South America,Copa América,2020,13.06. 18:00,Peru,Qatar,2020-12-15
football,South America,Copa América,2020,15.06. 12:00,Chile,Bolivia,2020-12-15
football,South America,Copa América,2020,15.06. 15:00,Argentina,Uruguay,2020-12-15
football,South America,Copa América,2020,16.06. 15:00,Paraguay,Australia,2020-12-15
football,South America,Copa América,2020,16.06. 18:00,Colombia,Venezuela,2020-12-15
football,South America,Copa América,2020,17.06. 15:00,Ecuador,Qatar,2020-12-15
football,South America,Copa América,2020,17.06. 18:00,Peru,Brazil,2020-12-15
football,South America,Copa América,2020,18.06. 16:00,Uruguay,Chile,2020-12-15
football,South America,Copa América,2020,19.06. 13:00,Australia,Bolivia,2020-12-15
football,South America,Copa América,2020,19.06. 16:00,Argentina,Paraguay,2020-12-15
football,South America,Copa América,2020,20.06. 15:00,Venezuela,Ecuador,2020-12-15
football,South America,Copa América,2020,20.06. 18:00,Colombia,Peru,2020-12-15
football,South America,Copa América,2020,21.06. 17:00,Brazil,Qatar,2020-12-15
football,South America,Copa América,2020,22.06. 13:00,Bolivia,Uruguay,2020-12-15
football,South America,Copa América,2020,22.06. 16:00,Australia,Argentina,2020-12-15
football,South America,Copa América,2020,23.06. 15:00,Chile,Paraguay,2020-12-15
football,South America,Copa América,2020,23.06. 18:00,Ecuador,Peru,2020-12-15
football,South America,Copa América,2020,24.06. 15:00,Qatar,Venezuela,2020-12-15
football,South America,Copa América,2020,24.06. 18:00,Brazil,Colombia,2020-12-15
football,South America,Copa América,2020,27.06. 16:00,Bolivia,Argentina,2020-12-15
football,South America,Copa América,2020,27.06. 16:00,Chile,Australia,2020-12-15
football,South America,Copa América,2020,27.06. 16:00,Uruguay,Paraguay,2020-12-15
football,South America,Copa América,2020,28.06. 18:00,Ecuador,Brazil,2020-12-15
football,South America,Copa América,2020,28.06. 18:00,Qatar,Colombia,2020-12-15
football,South America,Copa América,2020,28.06. 18:00,Venezuela,Peru,2020-12-15
football,World,Olympic Games Women,2020,19.02. 03:00,South Korea W,China W,2020-12-15
football,World,Olympic Games Women,2020,24.02. 03:00,China W,South Korea W,2020-12-15
football,World,Arab Club Champions Cup,2019/2020,04.01. 09:00,Al-Ittihad FC,Al-Shabab,2020-12-15
football,World,Arab Club Champions Cup,2019/2020,11.01. 11:00,Raja Casablanca,El Ismaily,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Belgium,Wales,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Cyprus,Slovakia,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Estonia,Czech Republic,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Finland,Bosnia & Herzegovina,2020-12-15
