sport,country,league
football,Albania,Superliga
football,Albania,First Division
football,Albania,Albanian Cup
football,Albania,Super Cup
football,World,World Cup
football,World,Olympic Games
football,World,FIFA Club World Cup
football,World,FIFA Confederations Cup
football,World,World Cup U20
football,World,World Cup U17
football,World,Friendly International
football,World,Club Friendly
football,World,Arab Club Champions Cup
football,World,Arab Cup of Nations
football,World,Audi Cup
football,World,Bangabandhu Gold Cup
football,World,CEE Cup
football,World,China Cup
football,World,COTIF Tournament
football,World,International Champions Cup
football,World,Islamic Solidarity Games
football,World,J.League Cup / Copa Sudamericana
football,World,Kings Cup (Thailand)
football,World,Kirin Cup (Japan)
football,World,La Manga Cup
football,World,Mediterranean Games
football,World,Visit Tucson Sun Cup
football,World,Nordic Tournament U17
football,World,Pan American Games
football,World,Premier League Asia Trophy
football,World,Slovakia Cup
football,World,Toulon Tournament
football,World,Trofeo Colombino
football,World,Universiade
football,World,Valentin Granatkin Memorial
football,World,Viareggio Cup
football,World,World Medical Football Championship
football,World,World Cup Women
football,World,World Cup Women U20
football,World,World Cup Women U17
football,World,Olympic Games Women
football,World,Friendly International Women
football,World,Club Friendly Women
football,World,Algarve Cup Women
football,World,International Champions Cup Women
football,World,International Tournament (Cyprus) Women
football,World,Istria Cup Women
football,World,Pan American Games Women
football,World,SheBelieves Cup Women
football,South America,Copa América
football,World,Tournoi de France Women
football,World,Tournament of Nations Women
football,World,Universiade Women
football,South America,Copa Libertadores
football,South America,Copa Sudamericana
football,South America,Recopa Sudamericana
football,South America,South American Championship U20
football,South America,World Cup
football,South America,South American Championship U17
football,South America,Copa Antel
football,South America,Copa América Women
football,South America,Copa Libertadores Women
football,South America,South American Championship Women U20
football,South America,South American Championship Women U17
football,North & Central America,Gold Cup
football,North & Central America,CONCACAF Champions League
football,North & Central America,CONCACAF Nations League
football,North & Central America,CONCACAF League
football,North & Central America,World Cup
football,North & Central America,CONCACAF Cup
football,Europe,Euro
football,North & Central America,CONCACAF Championship U20
football,North & Central America,CONCACAF Championship U17
football,North & Central America,Campeones Cup
football,North & Central America,Caribbean Cup
football,North & Central America,Caribbean Club Championship
football,North & Central America,Caribbean Club Shield
football,Europe,Champions League
football,Europe,Europa League
football,North & Central America,Central American & Caribbean Games
football,North & Central America,Copa Centroamericana
football,North & Central America,Leagues Cup
football,North & Central America,CONCACAF Championship Women
football,Europe,UEFA Nations League
football,Europe,Euro U21
football,Europe,Euro U19
football,Europe,World Cup
football,Europe,Euro U17
football,Europe,UEFA Super Cup
football,Europe,UEFA Regions' Cup
football,North & Central America,CONCACAF Championship Women U20
football,North & Central America,CONCACAF Championship Women U17
football,Europe,UEFA Youth League
football,Europe,Elite League U20
football,Europe,Atlantic Cup
football,Europe,Baltic Cup
football,North & Central America,Central American & Caribbean Games Women
football,Europe,Baltic Cup U21
football,Europe,Czech-Slovak Super Cup
football,Europe,Emirates Cup
football,Europe,Marbella Cup
football,Europe,Premier League (Crimea)
football,Europe,Uhren Cup
football,Europe,Champions League Women
football,Europe,Euro Women
football,Europe,Euro U19 Women
football,Europe,Euro U17 Women
football,Australia & Oceania,OFC Nations Cup
football,Australia & Oceania,OFC Champions League
football,Australia & Oceania,OFC Championship U23
football,Australia & Oceania,OFC Championship U19
football,Australia & Oceania,OFC Championship U16
football,Australia & Oceania,Pacific Games
football,Australia & Oceania,OFC Nations Cup Women
football,Australia & Oceania,OFC Championship U19 Women
football,Australia & Oceania,World Cup
football,Australia & Oceania,OFC Championship U16 Women
football,Australia & Oceania,Pacific Games Women
football,Asia,Asian Cup
football,Asia,AFC Champions League
football,Asia,AFC Cup
football,Asia,EAFF E-1 Football Championship
football,Asia,SAFF Championship
football,Asia,WAFF Championship
football,Asia,World Cup
football,Asia,Asian Games
football,Asia,Southeast Asian Games
football,Asia,AFC Championship U23
football,Asia,AFC Championship U19
football,Asia,AFC Championship U16
football,Asia,AFF Championship U22
football,Asia,AFF Championship U19
football,Asia,AFF Suzuki Cup
football,Asia,AFC Solidarity Cup
football,Asia,Guangdong - Hong Kong Cup
football,Asia,Gulf Cup of Nations
football,Asia,Gulf Clubs Championship
football,Asia,Asian Cup Women
football,Asia,Asian Games Women
football,Asia,EAFF E-1 Football Championship Women
football,Asia,East Asian Games Women
football,Asia,Southeast Asian Games Women
football,Asia,AFC Championship Women U19
football,Asia,AFC Championship Women U16
football,Asia,CAFA Championship Women
football,Asia,SAFF Championship Women
football,Africa,Africa Cup of Nations
football,Africa,CAF Champions League
football,Africa,CAF Confederations Cup
football,Africa,World Cup
football,Africa,CAF Super Cup
football,Africa,African Nations Championship
football,Africa,Africa Cup of Nations U23
football,Africa,Africa Cup of Nations U20
football,Africa,Africa Cup of Nations U17
football,Africa,CECAFA Championship
football,Africa,CECAFA Clubs Cup
football,Africa,COSAFA Cup
football,Africa,COSAFA Championship U20
football,Africa,WAFU Cup of Nations
football,Africa,African Championship Women
football,Zimbabwe,Premier Soccer League
football,Zambia,Super League
football,Yemen,Division 1
football,Wales,Cymru Premier
football,Wales,Cymru North
football,Wales,Cymru South
football,Wales,Division 1
football,Wales,Cymru Alliance
football,Wales,FA Cup
football,Wales,League Cup
football,Vietnam,V.League 1
football,Vietnam,V.League 2
football,Vietnam,Vietnamese Cup
football,Vietnam,Super Cup
football,Vietnam,National League Women
football,Vietnam,Vietnamese Cup Women
football,Venezuela,Primera Division
football,Venezuela,Segunda Division
football,Venezuela,Copa Venezuela
football,Venezuela,Copa Bicentenaria
football,Uzbekistan,Super League
football,Uzbekistan,Uzbekistan Cup
football,Uzbekistan,Super Cup
football,USA,MLS
football,USA,USL Championship
football,USA,USL League One
football,USA,USL League Two
football,USA,NISA
football,USA,US Open Cup
football,Uruguay,Primera Division
football,USA,MLS is Back
football,USA,Carolina Challenge Cup
football,USA,NWSL Women
football,USA,NWSL Challenge Cup Women
football,Uruguay,Segunda Division
football,Uruguay,Super Cup
football,United Arab Emirates,UAE League
football,United Arab Emirates,Arabian Gulf Cup
football,United Arab Emirates,Division 1
football,United Arab Emirates,Super Cup
football,United Arab Emirates,Presidents Cup
football,Ukraine,Premier League
football,Ukraine,Persha Liga
football,Ukraine,Druha Liga
football,Ukraine,Youth League
football,Ukraine,Ukrainian Cup
football,Ukraine,Super Cup
football,Uganda,Premier League
football,Turkmenistan,Yokary Liga
football,Turkmenistan,Youth League
football,Turkey,Super Lig
football,Turkey,1. Lig
football,Turkey,2. Lig White Group
football,Turkey,2. Lig Red Group
football,Turkey,2. Lig Play Offs
football,Turkey,3. Lig Group 1
football,Turkey,3. Lig Group 2
football,Turkey,3. Lig Group 3
football,Turkey,3. Lig Group 4
football,Turkey,TFF 3. Lig Play Offs
football,Turkey,Turkish Cup
football,Turkey,Super Cup
football,Tunisia,Ligue Professionnelle 1
football,Tunisia,Ligue 2
football,Tunisia,Tunisia Cup
football,Tunisia,Super Cup
football,Trinidad and Tobago,Pro League
football,Togo,Championnat National
football,Thailand,Thai League 1
football,Thailand,Thai League 2
football,Thailand,Thai FA Cup
