sport,country,league
handball,Austria,HLA
handball,Austria,OHB Cup
handball,Austria,Supercup
handball,Austria,WHA Women
handball,Austria,OHB Cup Women
handball,World,World Championship
handball,World,World Championship Women
handball,World,World Championship U21
handball,World,World Championship U20 Women
handball,World,World Championship U19
handball,World,World Championship U18 Women
handball,World,Olympic Games
handball,World,Olympic Games Women
handball,World,Friendly International
handball,World,Friendly International Women
handball,World,Club Friendly
handball,World,Club Friendly Women
handball,World,IHF Emerging Nations Championship
handball,World,Mediterranean Games
handball,World,Mediterranean Games Women
handball,World,Mobelringen Cup Women
handball,World,Pan American Championship
handball,World,Pan American Championship Women
handball,World,Pan American Games
handball,World,Pan American Games Women
handball,World,Pan American Club Championship
handball,World,Pan American Club Championship Women
handball,World,South and Central American Championship
handball,World,Super Globe
handball,World,Super Globe Women
handball,World,Universiade
handball,World,Universiade Women
handball,North & Central America,Central American & Caribbean Games
handball,North & Central America,Central American & Caribbean Games Women
handball,Europe,European Championship
handball,Europe,European Championship Women
handball,Europe,Champions League
handball,Europe,Champions League Women
handball,Europe,EHF European League
handball,Europe,EHF European League Women
handball,Europe,EHF Euro Cup
handball,Europe,European Cup
handball,Europe,European Cup Women
handball,Europe,European Championship U20
handball,Europe,European Championship U20 B
handball,Europe,European Championship U19 Women
handball,Europe,European Championship U19 B Women
handball,Europe,European Championship U18
handball,Europe,European Championship U18 B
handball,Europe,European Championship U17 Women
handball,Europe,European Championship U17 B Women
handball,Europe,Baltic League
handball,Europe,BENE-League
handball,Europe,Czech-Slovak Cup
handball,Europe,EHF Challenge Trophy Women
handball,Europe,Golden League - Denmark
handball,Europe,Golden League - Denmark Women
handball,Europe,Golden League - France Women
handball,Europe,Golden League - Norway Women
handball,Europe,MOL Liga Women
handball,Europe,SEHA Liga
handball,Asia,Asian Championship
handball,Asia,Asian Championship Women
handball,Asia,Asian Games
handball,Asia,Asian Games Women
handball,Africa,African Championship
handball,Africa,African Championship Women
handball,Ukraine,Superleague
handball,Turkey,Superlig Women
handball,Turkey,Superlig
handball,Switzerland,NLA
handball,Switzerland,Schweizer Cup
handball,Switzerland,Super Cup
handball,Switzerland,SPL Women
handball,Switzerland,Schweizer Cup Women
handball,Sweden,Handbollsligan
handball,Sweden,Allsvenskan
handball,Sweden,SHE Women
handball,Sweden,Allsvenskan Women
handball,Spain,Liga ASOBAL
handball,Spain,Division de Honor Plata
handball,Spain,Copa Asobal
handball,Spain,Copa del Rey
handball,Spain,Supercopa
handball,Spain,Division de Honor Women
handball,Spain,Copa de la Reina Women
handball,Spain,Supercopa Women
handball,South Korea,1st League
handball,South Korea,1st League Women
handball,Slovenia,1. NLB Liga
handball,Slovenia,1.A DRL Women
handball,Slovakia,Extraliga
handball,Serbia,Superliga
handball,Russia,Superleague
handball,Russia,Russian Cup
handball,Russia,Supercup
handball,Russia,Superleague Women
handball,Russia,Russian Cup Women
handball,Russia,Supercup Women
handball,Romania,Liga Nationala
handball,Romania,Liga Nationala Women
handball,Romania,Romanian Cup
handball,Romania,Romanian Cup Women
handball,Portugal,Andebol 1
handball,Portugal,Taca de Portugal
handball,Portugal,Super Cup
handball,Portugal,1a Divisao Women
handball,Poland,Superliga
handball,Poland,I Liga
handball,Poland,Polish Cup
handball,Poland,Superliga Women
handball,Poland,I Liga Women
handball,Poland,Polish Cup Women
handball,Norway,REMA 1000-ligaen
handball,Norway,1. Division
handball,Norway,REMA 1000-ligaen women
handball,Norway,NM Cup
handball,Norway,1. Division Women
handball,Norway,NM Cup Women
handball,North Macedonia,Superleague
handball,North Macedonia,Superleague Women
handball,Netherlands,Eredivisie
handball,Netherlands,Eredivisie Women
handball,Montenegro,Prva liga
handball,Malta,1st Division
handball,Luxembourg,AXA League
handball,Lithuania,Lietuvos Lyga
handball,Latvia,SynotTip Virsliga
handball,Italy,Serie A
handball,Italy,Coppa Italia
handball,Italy,Coppa Italia Women
handball,Italy,Serie A Women
handball,Israel,Division 1
handball,Iceland,Olis Deildin
handball,Iceland,Olis Deild Women
handball,Hungary,NB I
handball,Hungary,Hungarian Cup
handball,Hungary,NB I Women
handball,Hungary,Hungarian Cup Women
handball,Greece,A1
handball,Greece,Greek Cup
handball,Germany,Bundesliga
handball,Germany,2. Bundesliga
handball,Germany,DHB Pokal
handball,Germany,Super Cup
handball,Germany,1. Bundesliga Women
handball,Germany,2. Bundesliga Women
handball,Germany,DHB Pokal Women
handball,Germany,Super Cup Women
handball,France,Lidl Starligue
handball,France,Proligue
handball,France,Coupe de France
handball,France,Coupe de la Ligue
handball,France,Trophee des Champions
handball,France,Division 1 Women
handball,France,Coupe de France Women
handball,France,Coupe de la Ligue Women
handball,Finland,SM-sarja
handball,Finland,SM-sarja Women
handball,Estonia,Meistriliiga
handball,Denmark,Herre Handbold Ligaen
handball,Denmark,1. Division
handball,Denmark,Santander Cup
handball,Denmark,Super Cup
handball,Denmark,Bambusa Kvindeligaen Women
handball,Denmark,1. Division Women
handball,Denmark,Santander Cup Women
handball,Denmark,Super Cup Women
handball,Czech Republic,Extraliga
handball,Czech Republic,Czech Cup
handball,Czech Republic,Czech Cup Women
handball,Croatia,Premijer liga
handball,Croatia,1. HRL Women
handball,Bulgaria,A RHG
handball,Bosnia and Herzegovina,Premijer Liga
handball,Belgium,Division 1
handball,Belarus,Division 1
