sport,country,league
hockey,Australia,AIHL
hockey,World,World Championship
hockey,Europe,Champions League
hockey,World,World Cup
hockey,World,Olympic Games
hockey,World,Friendly International
hockey,World,Club Friendly
hockey,World,WCH IA
hockey,World,WCH IB
hockey,World,WCH IIA
hockey,World,WCH IIB
hockey,World,WCH IIIA
hockey,Europe,Beijer Hockey Games
hockey,Europe,Carlson Hockey Games
hockey,Europe,Channel One Cup
hockey,Europe,Karjala Cup
hockey,Asia,Asian Games
hockey,World,WCH IIIB
hockey,World,WCH IV
hockey,World,WCH U20
hockey,World,WCH U20 IA
hockey,Europe,Alps Hockey League
hockey,Europe,Baltic League
hockey,Europe,BeNe League
hockey,Europe,Continental Cup
hockey,Europe,Mountfield Cup
hockey,Asia,Southeast Asian Games
hockey,Asia,Asia Challenge Cup
hockey,Asia,Asia Challenge Cup Div. I
hockey,Asia,Asia League
hockey,World,WCH U20 IB
hockey,World,WCH U20 IIA
hockey,World,WCH U20 IIB
hockey,World,WCH U20 III
hockey,World,WCH U18
hockey,World,WCH U18 IA
hockey,Europe,Spengler Cup (Davos)
hockey,Europe,Zbynek Kusy Memorial
hockey,Europe,International Tournament (Austria)
hockey,Europe,International Tournament (Belarus)
hockey,USA,NHL
hockey,Asia,Asian Games Women
hockey,World,WCH U18 IB
hockey,World,WCH U18 IIA
hockey,World,WCH U18 IIB
hockey,World,WCH U18 IIIA
hockey,World,WCH U18 IIIB
hockey,World,World Hockey Challenge U17
hockey,Europe,International Tournament (Denmark)
hockey,Europe,International Tournament (France)
hockey,Europe,International Tournament (Hungary)
hockey,Europe,International Tournament (Italy)
hockey,Europe,International Tournament (Latvia)
hockey,USA,AHL
hockey,USA,ECHL
hockey,USA,FHL
hockey,USA,SPHL
hockey,USA,USHL
hockey,USA,NWHL Women
hockey,World,Junior Club World Cup
hockey,World,World Junior A Challenge
hockey,World,Universiade
hockey,World,Germany Cup
hockey,World,Hlinka-Gretzky Cup
hockey,World,International Tournament (South Korea)
hockey,Europe,International Tournament (Lithuania)
hockey,Europe,International Tournament (Netherlands)
hockey,Europe,International Tournament (Norway)
hockey,United Kingdom,Elite League
hockey,World,Olympic Games Women
hockey,World,WCH Women
hockey,World,WCH IA Women
hockey,World,WCH IB Women
hockey,World,WCH IIA Women
hockey,Europe,International Tournament (Poland)
hockey,Europe,International Tournament (Romania)
hockey,Europe,International Tournament (Slovakia)
hockey,Europe,International Tournament (Slovenia)
hockey,United Kingdom,Challenge Cup
hockey,World,WCH IIB Women
hockey,World,WCH III Women
hockey,World,WCH U18 Women
hockey,World,WCH U18 IA Women
hockey,World,WCH U18 IB Women
hockey,World,WCH U18 IIA Women
hockey,Europe,International Tournament (Switzerland)
hockey,Europe,International Tournament (Ukraine)
hockey,Europe,European Trophy
hockey,Europe,Summer IHT (Basel)
hockey,Ukraine,UHL
hockey,World,WCH U18 IIB Women
hockey,World,Friendly International Women
hockey,World,Universiade Women
hockey,Europe,Dolomiten Cup
hockey,Europe,Red Bulls Salute
hockey,Europe,Rona Cup
hockey,Europe,Visegrad Cup
hockey,Europe,All Star Cup
hockey,Europe,U20 Super Challenge
hockey,Europe,EHT Final Women
hockey,Europe,EHT Czech Republic Women
hockey,Europe,EHT Finland Women
hockey,Europe,Champions Cup Women
hockey,Europe,European Cup U16 Women
hockey,Turkey,Super Lig
hockey,Switzerland,National League
hockey,Switzerland,Swiss League
hockey,Switzerland,MySports League
hockey,Switzerland,Swiss Cup
hockey,Sweden,SHL
hockey,Sweden,HockeyAllsvenskan
hockey,Sweden,HockeyEttan Norra
hockey,Sweden,HockeyEttan Sodra
hockey,Sweden,HockeyEttan Vastra
hockey,Sweden,HockeyEttan Ostra
hockey,Spain,LNHH
hockey,Sweden,AllEttan Norra
hockey,Sweden,AllEttan Södra
hockey,Sweden,AllEttan Play Offs
hockey,Sweden,SCA Cupen
hockey,Sweden,SuperElit U20
hockey,Sweden,SDHL Women
hockey,Slovenia,IHL
hockey,Slovenia,Hokejska liga
hockey,Slovakia,Tipos Extraliga
hockey,Slovakia,1. Liga
hockey,Slovakia,2. Liga
hockey,Slovakia,Super Cup
hockey,Serbia,Hockey League
hockey,Russia,KHL
hockey,Russia,VHL
hockey,Russia,VHL-B
hockey,Russia,MHL
hockey,Russia,NMHL
hockey,Russia,Liga Pro - Short Hockey
hockey,Russia,Comet Division - Short Hockey
hockey,Romania,Campionatul National
hockey,Russia,WHL Women
hockey,Romania,Romanian Cup
hockey,Poland,Polish Hockey League
hockey,Poland,Polish Cup
hockey,Poland,Super Cup
hockey,Norway,Fjordkraft-ligaen
hockey,Norway,Division 1
hockey,New Zealand,NZIHL
hockey,Netherlands,Dutch Cup
hockey,Lithuania,Lietuvos Cempionatas
hockey,Latvia,Optibet Hokeja Liga
hockey,Kazakhstan,Championship
hockey,Kazakhstan,Kazakhstan Cup
hockey,Japan,Japan Cup
hockey,Italy,Serie A
hockey,Italy,IHL
hockey,Italy,Italian Cup
hockey,Italy,Super Cup
hockey,Hungary,Erste Liga
hockey,Hungary,Hungarian Cup
hockey,Germany,DEL
hockey,Germany,DEL2
hockey,Germany,Oberliga
hockey,Germany,Oberliga North
hockey,Germany,Oberliga South
hockey,Germany,MagentaSport Cup
hockey,France,Ligue Magnus
hockey,France,D1
hockey,France,French Cup
hockey,France,Super Cup
hockey,Finland,Liiga
hockey,Finland,Mestis
hockey,Finland,Suomi-sarja
hockey,Finland,SM-sarja U20
hockey,Finland,Suomen Cup
hockey,Finland,Naisten Liiga
hockey,Estonia,Hokiliiga
hockey,Denmark,Danish Cup
hockey,Denmark,Metal Ligaen
hockey,Czech Republic,Extraliga
hockey,Czech Republic,Chance Liga
hockey,Czech Republic,2. Liga - North
hockey,Czech Republic,2. Liga - South
hockey,Czech Republic,2. Liga - East
hockey,Czech Republic,2. Liga - Promotion Group
hockey,Czech Republic,2. Liga
hockey,Czech Republic,Generali Ceska Cup
hockey,Czech Republic,JLA
hockey,Czech Republic,DHL Super Cup
hockey,Czech Republic,ULLH
hockey,Canada,OHL
hockey,Canada,WHL
hockey,Canada,QMJHL
hockey,Canada,LNAH
hockey,Canada,U Sports
hockey,Canada,Memorial Cup
hockey,Canada,CWHL Women
hockey,Canada,Top Prospects Game
hockey,Belarus,Extraleague
hockey,Belarus,Minsk Championship
hockey,Belarus,Belarusian Cup
hockey,Austria,ICE Hockey League
