sport,country,league,season,team,overall_rank,home_rank,home_mp,home_w,home_wo,home_lo,home_d,home_l,home_gf,home_ga,home_pts,away_rank,away_mp,away_w,away_wo,away_lo,away_d,away_l,away_gf,away_ga,away_pts,scraped_date
football,World,FIFA Confederations Cup,2017,Portugal,1,1,3,2,,,1,0,7,2,7,1,3,2,,,1,0,7,2,7,2020-12-15
football,World,FIFA Confederations Cup,2017,Mexico,2,2,3,2,,,1,0,6,4,7,2,3,2,,,1,0,6,4,7,2020-12-15
football,World,FIFA Confederations Cup,2017,Russia,3,3,3,1,,,0,2,3,3,3,3,3,1,,,0,2,3,3,3,2020-12-15
football,World,FIFA Confederations Cup,2017,New Zealand,4,4,3,0,,,0,3,1,8,0,4,3,0,,,0,3,1,8,0,2020-12-15
football,World,FIFA Confederations Cup,2017,Germany,1,1,3,2,,,1,0,7,4,7,1,3,2,,,1,0,7,4,7,2020-12-15
football,World,FIFA Confederations Cup,2017,Chile,2,2,3,1,,,2,0,4,2,5,2,3,1,,,2,0,4,2,5,2020-12-15
hockey,Australia,AIHL,2020,Newcastle,1,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-12-15
football,World,FIFA Confederations Cup,2017,Australia,3,3,3,0,,,2,1,4,5,2,3,3,0,,,2,1,4,5,2,2020-12-15
hockey,Australia,AIHL,2020,Sydney Ice Dogs,2,2,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,Sydney Bears,3,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2020-12-15
football,World,FIFA Confederations Cup,2017,Cameroon,4,4,3,0,,,1,2,2,6,1,4,3,0,,,1,2,2,6,1,2020-12-15
hockey,Australia,AIHL,2020,Melbourne Ice,4,4,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,Adelaide,5,5,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,Melbourne Mustangs,6,6,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,Perth,7,7,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,CBR Brave,8,8,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2020-12-15
football,World,Tournament of Nations Women,2018,USA W,1,1,3,2,,,1,0,9,4,7,1,3,2,,,1,0,9,4,7,2020-12-15
football,World,Tournament of Nations Women,2018,Australia W,2,2,3,2,,,1,0,6,2,7,2,3,2,,,1,0,6,2,7,2020-12-15
football,World,Tournament of Nations Women,2018,Brazil W,3,3,3,1,,,0,2,4,8,3,3,3,1,,,0,2,4,8,3,2020-12-15
football,World,Tournament of Nations Women,2018,Japan W,4,4,3,0,,,0,3,3,8,0,4,3,0,,,0,3,3,8,0,2020-12-15
football,World,Tournoi de France Women,2020,France W,1,1,3,2,,,1,0,5,3,7,4,0,0,,,0,0,0,0,0,2020-12-15
football,World,Tournoi de France Women,2020,Brazil W,3,2,1,0,,,1,0,2,2,1,3,2,0,,,1,1,0,1,1,2020-12-15
football,World,Tournoi de France Women,2020,Netherlands W,2,3,1,0,,,1,0,0,0,1,1,2,0,,,2,0,3,3,2,2020-12-15
football,World,SheBelieves Cup Women,2020,USA W,1,1,3,3,,,0,0,6,1,9,1,3,3,,,0,0,6,1,9,2020-12-15
football,World,Tournoi de France Women,2020,Canada W,4,4,1,0,,,1,0,0,0,1,2,2,0,,,1,1,2,3,1,2020-12-15
football,World,SheBelieves Cup Women,2020,Spain W,2,2,3,2,,,0,1,4,2,6,2,3,2,,,0,1,4,2,6,2020-12-15
football,World,SheBelieves Cup Women,2020,England W,3,3,3,1,,,0,2,1,3,3,3,3,1,,,0,2,1,3,3,2020-12-15
football,World,SheBelieves Cup Women,2020,Japan W,4,4,3,0,,,0,3,2,7,0,4,3,0,,,0,3,2,7,0,2020-12-15
football,World,Pan American Games Women,2019,Paraguay W,1,1,2,1,,,1,0,3,1,4,2,1,1,,,0,0,2,1,3,2020-12-15
football,World,Pan American Games Women,2019,Mexico W,3,2,3,1,,,1,1,5,4,4,3,0,0,,,0,0,0,0,0,2020-12-15
football,World,Pan American Games Women,2019,Colombia W,2,3,0,0,,,0,0,0,0,0,1,3,1,,,2,0,4,2,5,2020-12-15
football,World,Istria Cup Women,2019,Slovenia W,1,1,2,1,,,1,0,3,1,4,1,2,1,,,1,0,3,1,4,2020-12-15
football,World,Pan American Games Women,2019,Jamaica W,4,4,1,0,,,0,1,0,2,0,4,2,0,,,0,2,1,5,0,2020-12-15
football,World,Pan American Games Women,2019,Argentina W,2,1,2,1,,,1,0,3,0,4,2,1,1,,,0,0,1,0,3,2020-12-15
football,World,Istria Cup Women,2019,Ukraine W,2,2,2,1,,,0,1,5,3,3,2,2,1,,,0,1,5,3,3,2020-12-15
football,World,Istria Cup Women,2019,Croatia W,3,3,2,0,,,1,1,0,4,1,3,2,0,,,1,1,0,4,1,2020-12-15
football,World,Pan American Games Women,2019,Costa Rica W,1,2,1,1,,,0,0,3,1,3,1,2,1,,,1,0,3,1,4,2020-12-15
football,World,Pan American Games Women,2019,Panama W,3,3,3,0,,,1,2,2,5,1,4,0,0,,,0,0,0,0,0,2020-12-15
football,World,Istria Cup Women,2019,Serbia W,1,1,2,2,,,0,0,6,0,6,1,2,2,,,0,0,6,0,6,2020-12-15
football,World,Istria Cup Women,2019,Bosnia & Herzegovina W,2,2,2,1,,,0,1,3,3,3,2,2,1,,,0,1,3,3,3,2020-12-15
football,World,Pan American Games Women,2019,Peru W,4,4,0,0,,,0,0,0,0,0,3,3,0,,,1,2,2,7,1,2020-12-15
football,World,Istria Cup Women,2019,Montenegro W,3,3,2,0,,,0,2,1,7,0,3,2,0,,,0,2,1,7,0,2020-12-15
football,World,International Tournament (Cyprus) Women,2020,Croatia W,1,1,2,1,,,1,0,4,3,4,1,2,1,,,1,0,4,3,4,2020-12-15
football,World,International Tournament (Cyprus) Women,2020,Finland W,2,2,3,1,,,1,1,7,6,4,2,3,1,,,1,1,7,6,4,2020-12-15
football,World,International Tournament (Cyprus) Women,2020,Mexico W,3,3,3,0,,,3,0,3,3,3,3,3,0,,,3,0,3,3,3,2020-12-15
football,World,International Tournament (Cyprus) Women,2020,Czech Republic W,4,4,2,0,,,2,0,1,1,2,4,2,0,,,2,0,1,1,2,2020-12-15
football,World,International Tournament (Cyprus) Women,2020,Slovakia W,5,5,2,0,,,1,1,4,6,1,5,2,0,,,1,1,4,6,1,2020-12-15
football,World,International Tournament (Cyprus) Women,2020,Thailand W,6,6,0,0,,,0,0,0,0,0,6,0,0,,,0,0,0,0,0,2020-12-15
football,World,World Cup Women U17,2018,Ghana U17 W,1,1,3,3,,,0,0,10,1,9,1,3,3,,,0,0,10,1,9,2020-12-15
football,World,World Cup Women U17,2018,New Zealand U17 W,2,2,3,2,,,0,1,3,3,6,2,3,2,,,0,1,3,3,6,2020-12-15
football,World,World Cup Women U17,2018,Finland U17 W,3,3,3,0,,,1,2,2,5,1,3,3,0,,,1,2,2,5,1,2020-12-15
football,World,World Cup Women U17,2018,Uruguay U17 W,4,4,3,0,,,1,2,2,8,1,4,3,0,,,1,2,2,8,1,2020-12-15
football,World,World Cup Women U17,2018,Japan U17 W,1,1,3,1,,,2,0,7,1,5,1,3,1,,,2,0,7,1,5,2020-12-15
football,World,World Cup Women U17,2018,Mexico U17 W,2,2,3,1,,,2,0,2,1,5,2,3,1,,,2,0,2,1,5,2020-12-15
football,World,World Cup Women U17,2018,Brazil U17 W,3,3,3,1,,,1,1,4,2,4,3,3,1,,,1,1,4,2,4,2020-12-15
football,World,World Cup Women U17,2018,South Africa U17 W,4,4,3,0,,,1,2,1,10,1,4,3,0,,,1,2,1,10,1,2020-12-15
football,World,World Cup Women U17,2018,Germany U17 W,1,1,3,2,,,0,1,8,2,6,1,3,2,,,0,1,8,2,6,2020-12-15
football,World,World Cup Women U17,2018,North Korea U17 W,2,2,3,2,,,0,1,6,5,6,2,3,2,,,0,1,6,5,6,2020-12-15
football,World,World Cup Women U17,2018,Cameroon U17 W,3,3,3,1,,,0,2,2,5,3,3,3,1,,,0,2,2,5,3,2020-12-15
football,World,World Cup Women U17,2018,USA U17 W,4,4,3,1,,,0,2,3,7,3,4,3,1,,,0,2,3,7,3,2020-12-15
football,World,World Cup Women U17,2018,Spain U17 W,1,1,3,2,,,1,0,10,1,7,1,3,2,,,1,0,10,1,7,2020-12-15
football,World,World Cup Women U17,2018,Canada U17 W,2,2,3,2,,,0,1,5,5,6,2,3,2,,,0,1,5,5,6,2020-12-15
football,World,World Cup Women U17,2018,Colombia U17 W,3,3,3,0,,,2,1,2,5,2,3,3,0,,,2,1,2,5,2,2020-12-15
football,World,World Cup Women U17,2018,South Korea U17 W,4,4,3,0,,,1,2,1,7,1,4,3,0,,,1,2,1,7,1,2020-12-15
football,World,World Medical Football Championship,2018,Czech Republic Med.,1,1,3,3,,,0,0,4,0,9,1,3,3,,,0,0,4,0,9,2020-12-15
football,World,World Medical Football Championship,2018,Kazakhstan Med.,2,2,3,1,,,0,2,4,7,3,2,3,1,,,0,2,4,7,3,2020-12-15
football,World,World Medical Football Championship,2018,Russia Med.,3,3,3,0,,,0,3,0,7,0,3,3,0,,,0,3,0,7,0,2020-12-15
football,World,World Medical Football Championship,2018,Australia Med.,1,1,3,2,,,0,1,8,2,6,1,3,2,,,0,1,8,2,6,2020-12-15
football,World,World Medical Football Championship,2018,Germany Med.,2,2,3,1,,,1,1,4,2,4,2,3,1,,,1,1,4,2,4,2020-12-15
football,World,World Medical Football Championship,2018,Uzbekistan Med.,3,3,3,1,,,1,1,2,4,4,3,3,1,,,1,1,2,4,4,2020-12-15
football,World,World Medical Football Championship,2018,South Korea Med.,4,4,3,1,,,0,2,4,10,3,4,3,1,,,0,2,4,10,3,2020-12-15
football,World,World Medical Football Championship,2018,Brazil Med.,1,1,3,2,,,1,0,7,3,7,1,3,2,,,1,0,7,3,7,2020-12-15
football,World,World Medical Football Championship,2018,USA Med.,2,2,3,1,,,1,1,6,7,4,2,3,1,,,1,1,6,7,4,2020-12-15
football,World,World Medical Football Championship,2018,Catalonia Selection Med.,3,3,3,0,,,3,0,7,7,3,3,3,0,,,3,0,7,7,3,2020-12-15
football,World,World Medical Football Championship,2018,Canada Med.,4,4,3,0,,,1,2,3,6,1,4,3,0,,,1,2,3,6,1,2020-12-15
football,World,World Medical Football Championship,2018,Great Britain Med.,1,1,3,3,,,0,0,8,1,9,1,3,3,,,0,0,8,1,9,2020-12-15
football,World,World Medical Football Championship,2018,Hungary Med.,2,2,3,2,,,0,1,9,1,6,2,3,2,,,0,1,9,1,6,2020-12-15
football,World,World Medical Football Championship,2018,Ireland Med.,3,3,3,1,,,0,2,2,5,3,3,3,1,,,0,2,2,5,3,2020-12-15
football,World,Viareggio Cup,2019,Braga U19,1,1,3,2,,,1,0,6,1,7,1,3,2,,,1,0,6,1,7,2020-12-15
football,World,World Medical Football Championship,2018,Lithuania Med.,4,4,3,0,,,0,3,1,13,0,4,3,0,,,0,3,1,13,0,2020-12-15
football,World,World Medical Football Championship,2018,Sweden Med.,1,1,3,3,,,0,0,16,2,9,1,3,3,,,0,0,16,2,9,2020-12-15
football,World,Viareggio Cup,2019,Inter U19,2,2,3,2,,,1,0,5,2,7,2,3,2,,,1,0,5,2,7,2020-12-15
football,World,Viareggio Cup,2019,Cagliari U19,3,3,3,1,,,0,2,2,3,3,3,3,1,,,0,2,2,3,3,2020-12-15
football,World,World Medical Football Championship,2018,Mexico Med.,2,2,3,2,,,0,1,7,12,6,2,3,2,,,0,1,7,12,6,2020-12-15
football,World,World Medical Football Championship,2018,Colombia Med.,3,3,3,1,,,0,2,4,5,3,3,3,1,,,0,2,4,5,3,2020-12-15
football,World,Viareggio Cup,2019,APIA Tigers U19,4,4,3,0,,,0,3,1,8,0,4,3,0,,,0,3,1,8,0,2020-12-15
football,World,World Medical Football Championship,2018,Austria Med.,4,4,3,0,,,0,3,2,10,0,4,3,0,,,0,3,2,10,0,2020-12-15
football,World,World Medical Football Championship,2018,Ukraine Med.,1,1,3,2,,,1,0,9,2,7,1,3,2,,,1,0,9,2,7,2020-12-15
football,World,Viareggio Cup,2019,Empoli U19,1,1,3,1,,,2,0,6,3,5,1,3,1,,,2,0,6,3,5,2020-12-15
football,World,World Medical Football Championship,2018,Argentina Med.,2,2,3,1,,,1,1,4,2,4,2,3,1,,,1,1,4,2,4,2020-12-15
football,World,World Medical Football Championship,2018,Venezuela Med.,3,3,3,1,,,0,2,3,6,3,3,3,1,,,0,2,3,6,3,2020-12-15
football,World,Viareggio Cup,2019,Nordsjaelland U19,2,2,3,1,,,1,1,9,6,4,2,3,1,,,1,1,9,6,4,2020-12-15
football,World,Viareggio Cup,2019,Ascoli U19,3,3,3,1,,,1,1,4,5,4,3,3,1,,,1,1,4,5,4,2020-12-15
